SKU LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"M? S?n ph?m/
 SKU Code",Tàn S?n Ph?m / Product Name,Categogy ,"S? l??ng s?n ph?m c¢ s?n / 
No. of items available","Gi† thuà theo ngÖy /
Daily Price",,"Gi† thuà theo th†ng /
Monthly Price","Gi† B†n/
Selling Price",Mì t? s?n ph?m/ Product Description,Thìng s? K? Thu?t/ Specification,Hçnh ?nh SP/ Product Photos,,,,,,,,,,,,,,,,,,,
1,,MAZDA 3 AT 2019,"
Car",1,"{""supplier"": ""ibookcar"", ""pricing_rules"": {""2-4"": ""800.000"",""5-6"":""900,000"", ""0-1"": ""1.000.000""}}",,"	None","	None","T°nh n?ng:
- Camera lói
- Bluetooth
- ??nh v? GSP
- Khe c?m USB
","Nhiàn li?u: X?ng
Lo?i xe: T? ??ng
S? ch? ng?i: 5
MÖu: Tr?ng",https://ibookcar.com/uploads/ibookcar/images/m3t.jpg,,,,,,,,,,,,,,,,,,,
2,,KIA CERATO NEW 2021,"
Car",1,"{""supplier"": ""ibookcar"", ""pricing_rules"": {""2-4"": ""800.000"",""5-6"":""900,000"", ""0-1"": ""1.000.000""}}",,"	None","	None","T°nh n?ng:
- Camera lói
- Bluetooth
- ??nh v? GSP
- Khe c?m USB
","Nhiàn li?u: X?ng
Lo?i xe: T? ??ng
S? ch? ng?i: 4
MÖu: ?en",https://ibookcar.com/uploads/ibookcar/images/20210107_123308.jpg,,,,,,,,,,,,,,,,,,,
3,,MAZDA 3 2020,"
Car",1,"{""supplier"": ""ibookcar"", ""pricing_rules"": {""2-4"": ""900.000"",""5-6"":""1,000,000"", ""0-1"": ""1.100.000""}}",,"	None","	None","T°nh n?ng:
- Camera lói
- Bluetooth
- ??nh v? GSP
- Khe c?m USB
","Nhiàn li?u: X?ng
Lo?i xe: T? ??ng
S? ch? ng?i: 5
MÖu: Xanh",https://ibookcar.com/uploads/ibookcar/images/m3x.jpg,,,,,,,,,,,,,,,,,,,
4,, XPANDER CROSS 2021,"
Car",1,"Th? 2 - 4: 900.000 VND/ 1 ngÖy
Th? 5-6: 1.000.000 VND/ 1 ngÖy
Th? 7- CN: 1.100.000 VND/ 1 ngÖy","{""supplier"": ""ibookcar"", ""pricing_rules"": {""2-4"": ""900.000"",""5-6"":""1,000,000"", ""0-1"": ""1.100.000""}}","	None","	None","T°nh n?ng:
- Camera lói
- Bluetooth
- ??nh v? GSP
- Khe c?m USB
","Nhiàn li?u: X?ng
Lo?i xe: T? ??ng
S? ch? ng?i: 7
MÖu: Cam",https://ibookcar.com/uploads/ibookcar/images/xpc.jpg,,,,,,,,,,,,,,,,,,,
5,, XPANDER AT 2019,"
Car",1,"Th? 2 - 4: 800.000 VND/ 1 ngÖy
Th? 5-6: 900.000 VND/ 1 ngÖy
Th? 7- CN: 1.000.000 VND/ 1 ngÖy",,"	None","	None","T°nh n?ng:
- Camera lói
- Bluetooth
- ??nh v? GSP
- Khe c?m USB
","Nhiàn li?u: X?ng
Lo?i xe: T? ??ng
S? ch? ng?i: 7
MÖu: Tr?ng",https://ibookcar.com/uploads/ibookcar/images/xpt.jpg,,,,,,,,,,,,,,,,,,,
6,, HYUNDAI ELANTRA ,"
Car",1,"Th? 2 - 4: 800.000 VND/ 1 ngÖy
Th? 5-6: 850.000 VND/ 1 ngÖy
Th? 7- CN: 900.000 VND/ 1 ngÖy",,"	None","	None","T°nh n?ng:
- Camera lói
- Bluetooth
- ??nh v? GSP
- Khe c?m USB
","Nhiàn li?u: X?ng
Lo?i xe: T? ??ng
S? ch? ng?i: 4
MÖu: Tr?ng",https://ibookcar.com/uploads/ibookcar/images/4ba9c0ba58a7abf9f2b63.jpg,,,,,,,,,,,,,,,,,,,
7,, TOYOTA RUSH 2021,"
Car",1,"Th? 2 - 4: 900.000 VND/ 1 ngÖy
Th? 5-6: 1.000.000 VND/ 1 ngÖy
Th? 7- CN: 1.100.000 VND/ 1 ngÖy",,"	None","	None","T°nh n?ng:
- Camera lói
- Bluetooth
- ??nh v? GSP
- Khe c?m USB
","Nhiàn li?u: X?ng
Lo?i xe: T? ??ng
S? ch? ng?i: 7
MÖu: Tr?ng",https://ibookcar.com/uploads/ibookcar/images/RUSH12.jpg,,,,,,,,,,,,,,,,,,,
8,, HONDA CRV 2021,"
Car",1,"Th? 2-6: 1.300.000 VND/ 1 ngÖy
Th? 7-CN: 1.400.000 VND/ 1 ngÖy",,"	None","	None","T°nh n?ng:
- Camera lói
- Bluetooth
- ??nh v? GSP
- Khe c?m USB
","Nhiàn li?u: X?ng
Lo?i xe: T? ??ng
S? ch? ng?i: 7
MÖu: ?en",https://ibookcar.com/uploads/ibookcar/images/2_18.jpg,,,,,,,,,,,,,,,,,,,
9,, FORTUNER MT 2016,"
Car",1,"Th? 2-6: 900.000 VND/ 1 ngÖy
Th? 7-CN: 1.000.000 VND/ 1 ngÖy",,"	None","	None","T°nh n?ng:
- Camera lói
- Bluetooth
- ??nh v? GSP
- Khe c?m USB
","Nhiàn li?u: X?ng
Lo?i xe: T? ??ng
S? ch? ng?i: 7
MÖu: Xanh",https://ibookcar.com/uploads/ibookcar/images/3_15.jpg,,,,,,,,,,,,,,,,,,,
10,, TOYOTA  FORTUNER 2021,"
Car",1,"{""supplier"": ""ibookcar"", ""pricing_rules"": {""2-6"": ""1.400.000"", ""0-1"": ""1.500.000""}}",,"	None","	None","T°nh n?ng:
- Camera lói
- Bluetooth
- ??nh v? GSP
- Khe c?m USB
","Nhiàn li?u: X?ng
Lo?i xe: T? ??ng
S? ch? ng?i: 7
MÖu: Tr?ng",https://ibookcar.com/uploads/ibookcar/images/4_13.jpg,,,,,,,,,,,,,,,,,,,
